timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704532844864,10,HTTP请求,200,,线程组 1-8,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,8,0,0
1704532844866,9,HTTP请求,200,,线程组 1-12,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,8,0,0
1704532844870,5,HTTP请求,200,,线程组 1-14,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,5,0,0
1704532844869,5,HTTP请求,200,,线程组 1-16,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,4,0,0
1704532844867,9,HTTP请求,200,,线程组 1-18,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,9,0,0
1704532844865,11,HTTP请求,200,,线程组 1-3,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,11,0,0
1704532844864,13,HTTP请求,200,,线程组 1-7,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,12,0,0
1704532844871,5,HTTP请求,200,,线程组 1-6,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,5,0,0
1704532844870,6,HTTP请求,200,,线程组 1-15,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,6,0,0
1704532844869,8,HTTP请求,200,,线程组 1-1,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,8,0,0
1704532844869,9,HTTP请求,200,,线程组 1-19,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,8,0,0
1704532844871,7,HTTP请求,200,,线程组 1-10,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,5,0,0
1704532844873,6,HTTP请求,200,,线程组 1-13,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,5,0,0
1704532844869,10,HTTP请求,200,,线程组 1-4,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,8,0,0
1704532844873,7,HTTP请求,200,,线程组 1-17,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,6,0,0
